,Id,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition
0,1,rl:,PAVE.,;REg,	lvl,AllPub.,InsidE:, gtl ,COLLGCR<,norm;,NORM.,1fam,?2story?,GABLE...,compshg!,...Vinylsd...,Vinylsd.,Brkface>,GD...,TA<,pconc>,	Gd>,:TA,.no	,;Glq ,UNF.,GASA<,	EX,:Y,SBRKr ,gd	,TYP,AttChd<,.RFn,TA	,	TA<,y?,wd ,	Normal?
1,2,...RL,<PAVE,reg	,Lvl;,AllPUb	,FR2 ,Gtl<,veenker	,?FEedr.,;norm,1FAM:,:1story,.GABLE...,CoMPSHG>, METALSD,metalsd ,?NOnE.,?Ta<,TA,>Cblock,?GD	,TA:, gd, Alq,;Unf,;GASA:,Ex ,y	,	SBRKR,ta?,;TYP,Attchd>,RFn	,	Ta,>TA	,;Y!,Wd ,Normal.
2,3,;Rl ,Pave ,ir1?,LVL!,Allpub!,?inside ,...Gtl,?COLLGCR,!Norm,.norm>,!1fam,.2story, Gable,...COMPSHG:,vinylsd.,?Vinylsd,!brkface,gd,!TA,	PCOnC,;GD.,.TA ,mn	, GLQ,	UNF;,GAsA...,;Ex,Y	,sbrkr<,.Gd,TyP...,Attchd;,;RFN,	TA...,TA ,Y,WD;,NORMAL
3,4,rl,pave.,;IR1,.Lvl,;ALLPUB;,>Corner,;GTL,.CRAWFOR,NORm,NORM:,1FAM>,2STORY<,	gable.,!Compshg<,WD SDNG:,Wd shng;,:NONE,Ta<,TA	,...BRKTIL...,.Ta ,	gd,>NO:,alq,:unf<,GaSA	,:GD ,Y...,	Sbrkr,Gd<,!TYP,DETCHD..., UNF?,	Ta;,;Ta,.Y,wd.,ABNORML	
4,5,.rl	,PaVE	, Ir1...,Lvl<,!Allpub,?fr2,.GTL...,?NoRIdge>,...NORM<,Norm;,1fam<,2SToRy<,GaBLe<,:compshg,:VINYLSD,VInYLSD?,?Brkface,:Gd,ta:,.pconc:,<Gd<,...TA...,Av,;glq!,:unf...,	GASA...,ex!,y,	Sbrkr,GD;,<Typ>,Attchd	,!rfn>,TA	,Ta,	Y>,?WD!,NoRmAl>
5,6,rl,;PavE!,IR1!,Lvl...,:Allpub, INSIDE ,GTL!,:mitchel,...norm,NORm	,>1FAM<,.1.5FIn<,gable<,compshg ,VinylSD<,;VINYLSD,NoNE!,...TA:,	ta,...Wood.,<Gd,<ta,No>,>Glq,>Unf,	Gasa ,>EX,y<,	SBRKr>,<TA,typ<,;attchd<, UNF,<TA,TA!,.Y,...Wd,?Normal
6,7,?RL, pave<,	Reg;,:Lvl...,<ALLPUB,INSIDE<,GTL ,:somerst,NoRM;,<NORM,:1fam,1StorY!,...Gable,<Compshg,!VinYlSd,<VINYLSD ,?stone.,	gd,?TA,Pconc?, EX;,:Ta,>av,>GLQ:, UNF!,!GaSA,	EX,!y,.SBrKR,<GD,	typ,...attchd,<RFN>,	Ta>, TA,	Y,wd!,>normal
7,8,...RL.,PAVE...,IR1...,<Lvl;,ALlPUB	,Corner;,Gtl ,	Nwames<,!posn,Norm.,1fam ,:2STORY>,<GABLE.,<compshg<,:Hdboard,;hdboard?,?STONE, ta,.Ta.,CBLOCK>,<Gd, TA,MN?,alq!,!blq;,GasA?, EX.,	Y,>SBRKR.,	TA,typ ,ATTCHD;,:rfn:,ta<,.TA,Y,:WD<,NORMAL.
8,9,RM...,PAVE:,!reg,!LVL<,;AlLPub,.inside,;Gtl, OLDTOwn, ARTErY,NOrm,!1fam,;1.5fin;,GABLE...,!compshg:,:Brkface,!WD SHNG ,;None,!TA...,ta,!BrkTil,...TA:,.TA ,	NO,Unf	,...unf,	Gasa>,Gd ,...Y,!Fusef,:Ta,MIN1,DeTChD ,UNF?,?FA,;ta,	Y ,Wd;,.ABNORML<
9,10,Rl.,!PAVE>,REg<,?Lvl,	ALLPUB,!CORNER;,;GTL:,...BRKSIDE ,artery,ARTery,.2FMCON!,	1.5unf:,gable<,	compshg<,<metalsd,;METALSD,;None,TA.,...ta,BrKTiL:,	TA,!TA,:No, GLQ<,;unf.,...gasa.,ex , y,!SBRKR;, TA,.Typ,:ATTCHD,RFN	, Gd,TA ,Y:,WD;, NORmAl
